university,subject,year,chinese,english,mathA,mathB,physics,chemistry,biology,history,geography,citizen,average,0
長榮大學,應用日語學系,100,2,2,NULL,NULL,NULL,NULL,NULL,NULL,1,1,50.225,38.2438
中國文化大學,政治學系,100,1.5,1.5,NULL,1,NULL,NULL,NULL,NULL,1,1,49.4917,38.2008
實踐大學,資訊模擬與設計學系(高雄),100,2,2,NULL,1.75,NULL,NULL,NULL,NULL,NULL,NULL,45.513,38.1654
真理大學,應用日語學系(淡水校區),100,2,1.5,NULL,NULL,NULL,NULL,NULL,NULL,1,1,50.7929,38.154
義守大學,公共政策與管理學系,100,2,1,NULL,1,NULL,NULL,NULL,NULL,2,2,51.6625,38.1058
義守大學,財務金融學系,100,2,1,NULL,1,NULL,NULL,NULL,NULL,2,2,51.6625,38.1058
中國文化大學,動物科學系,100,1,2,1,NULL,2,2,NULL,NULL,NULL,NULL,41.1125,38.068
實踐大學,資訊管理學系(高雄校區),100,1.75,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,44.7096,38.0667
中國文化大學,俄國語文學系,100,2,2,NULL,1,NULL,NULL,NULL,NULL,1,1,48.9571,38.0268
中國文化大學,中國文學系中國文學組,100,2,1,NULL,1,NULL,NULL,NULL,NULL,1,1,50.3833,37.9554
東吳大學,物理學系,100,1,1.5,1.5,NULL,2,1,NULL,NULL,NULL,NULL,41.0071,37.947
國立新竹教育大學,音樂系-中國傳統樂器(自費),100,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,53.22,37.9243
東吳大學,數學系,100,1,1,2,NULL,1.5,1,NULL,NULL,NULL,NULL,41.0923,37.8883
義守大學,觀光學系,100,2,1,NULL,1,NULL,NULL,NULL,NULL,2,2,51.45,37.8859
